Community Area,Community Area Name,Treatment,First_treatment,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,Crime_2021,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k
37,Fuller Park,,,3420,2876,-544,-54.4,3366,3311,3257,3202,3148,3094,3039,2985,2930,2876,2845,2814,2783,2752,2722,2691,2660,2629,2598,2567,-31,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,1556.4,0,55.5,4.5,38.2,33.7,9016,40,,,,,,,,,,,,,,,,,,,,,3.2,51.2,33.9,26.6,44.9,10432,97,,,,,,,,,,,,,,,,,,,
38,Grand Boulevard,,,28006,21929,-6077,-607.7,27398,26791,26183,25575,24968,24360,23752,23144,22537,21929,22195,22461,22727,22993,23259,23525,23791,24057,24323,24589,266,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7,590.4,1,1454.6,1680,13.2,28.3,2.7,41.7,19.4,22056,20.6,,,,,,,,,,,,,,,,,,,,,3.3,29.3,24.3,15.9,39.5,23472,57,,,,,,,,,,,,,,,,,,,
39,Kenwood,,,18363,17841,-522,-52.2,18311,18259,18206,18154,18102,18050,17998,17945,17893,17841,17969,18096,18224,18351,18479,18606,18734,18861,18989,19116,128,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,397.9,0.4,610.2,549.1,0,23.1,2.3,34.2,10.8,37519,11,,,,,,,,,,,,,,,,,,,,,2.4,21.7,15.7,11.3,35.4,35911,26,,,,,,,,,,,,,,,,,,,
40,Washington Park,,,14146,11717,-2429,-242.9,13903,13660,13417,13174,12932,12689,12446,12203,11960,11717,11816,11915,12014,12113,12212,12311,12410,12509,12608,12707,99,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,2058,5,39.1,4.9,40.9,28.3,13087,23.2,,,,,,,,,,,,,,,,,,,,,5.6,42.1,28.6,25.4,42.8,13785,88,,,,,,,,,,,,,,,,,,,
41,Hyde Park,,,29920,25681,-4239,-423.9,29496,29072,28648,28224,27801,27377,26953,26529,26105,25681,26059,26436,26814,27191,27569,27946,28324,28701,29079,29456,378,9.7,33.9,5.9,80.3,5.5,7.6,5.8,33.6,144,11.7,34,5,10.4,34.9,24.1,26,369,0,216.6,168.4,5.3,18.2,2.5,26.7,5.3,39243,6.9,,,,,,,,,,,,,,,,,,,,,1.5,18.4,8.4,4.3,26.2,39056,14,,,,,,,,,,,,,,,,,,,
42,Woodlawn,,,27086,25983,-1103,-110.3,26976,26865,26755,26645,26535,26424,26314,26204,26093,25983,25827,25671,25516,25360,25204,25048,24892,24737,24581,24425,-156,15.1,60.1,17.4,73.3,16.3,51.1,31.1,32.9,241.3,23.9,82.1,25,11.5,69.8,58,60,444.3,1.6,1382,1818.6,17.4,28.3,1.8,37.6,17.9,18928,17.3,,,,,,,,,,,,,,,,,,,,,2.9,30.7,23.4,16.5,36.1,18672,58,,,,,,,,,,,,,,,,,,,
43,South Shore,,,61556,49767,-11789,-1178.9,60377,59198,58019,56840,55662,54483,53304,52125,50946,49767,50187,50608,51028,51449,51869,52289,52710,53130,53551,53971,420,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246,25.1,95.4,30,11.4,70,54.8,53.2,470.3,1.1,1718.6,1357.1,11.7,31.5,2.9,37.6,14.9,18366,17.7,,,,,,,,,,,,,,,,,,,,,2.8,31.1,20,14,35.7,19398,55,,,,,,,,,,,,,,,,,,,
44,Chatham,,,37275,31028,-6247,-624.7,36650,36026,35401,34776,34152,33527,32902,32277,31653,31028,31096,31164,31233,31301,31369,31437,31505,31574,31642,31710,68,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0.5,1896.3,1855.8,8.2,25.3,2.2,40,13.7,20320,19,,,,,,,,,,,,,,,,,,,,,3.3,27.8,24,14.5,40.3,18881,60,,,,,,,,,,,,,,,,,,,
45,Avalon Park,,,11147,10185,-962,-96.2,11051,10955,10858,10762,10666,10570,10474,10377,10281,10185,10112,10040,9967,9894,9822,9749,9676,9603,9531,9458,-73,13.3,69.6,19.7,74.5,14.6,63.9,22.1,33.8,239.6,27.7,83.9,18.5,11.4,57.9,45.1,44.5,434.8,0.6,1139.9,2059.9,1.9,16.7,0.6,41.9,13.3,23495,16.6,,,,,,,,,,,,,,,,,,,,,1.4,17.2,21.1,10.6,39.3,24454,41,,,,,,,,,,,,,,,,,,,
46,South Chicago,,,38596,31198,-7398,-739.8,37856,37116,36377,35637,34897,34157,33417,32678,31938,31198,30808,30418,30029,29639,29249,28859,28469,28080,27690,27300,-390,18.1,82.2,13,75.3,15.1,76.8,36.9,31.9,227.3,21.1,86.9,33.7,17.7,50.9,56.3,50.6,493.4,1.6,1774.7,893.5,6.9,28,5.9,43.1,28.2,15393,17.7,,,,,,,,,,,,,,,,,,,,,4.7,29.8,19.7,26.6,41.1,16579,75,,,,,,,,,,,,,,,,,,,
47,Burnside,,,3294,2916,-378,-37.8,3256,3218,3181,3143,3105,3067,3029,2992,2954,2916,2877,2838,2799,2760,2722,2683,2644,2605,2566,2527,-39,12.9,64,7.9,68.4,13.2,68.7,70.3,7.6,191.2,32.8,86.1,70.3,13,69.5,44,99.1,375,3.6,3108.8,1574.8,6.8,22.5,5.5,40.4,18.6,13756,23.4,,,,,,,,,,,,,,,,,,,,,6.8,33,18.6,19.3,42.7,12515,79,,,,,,,,,,,,,,,,,,,
48,Calumet Heights,,,15974,13812,-2162,-216.2,15758,15542,15325,15109,14893,14677,14461,14244,14028,13812,13740,13667,13595,13522,13450,13378,13305,13233,13160,13088,-72,10,57.4,9.3,75,16.4,39.3,19.5,33.5,216.6,36,81.4,24.5,13.9,48,40.4,39.2,383.2,0.3,1188,1106.5,2.8,12,1.8,42.3,11.2,28977,17.2,,,,,,,,,,,,,,,,,,,,,2.1,11.5,20,11,44,28887,38,,,,,,,,,,,,,,,,,,,
49,Roseland,,,52723,44619,-8104,-810.4,51913,51102,50292,49481,48671,47861,47050,46240,45429,44619,44039,43458,42878,42298,41718,41137,40557,39977,39396,38816,-580,14.3,68.8,12.2,69,12.8,79.7,40.9,43.5,258.5,32,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512,1725.3,7.9,19.5,3.1,40.9,17.4,17974,17.8,,,,,,,,,,,,,,,,,,,,,2.5,19.8,20.3,16.9,41.2,17949,52,,,,,,,,,,,,,,,,,,,
50,Pullman,,,8921,7325,-1596,-159.6,8761,8602,8442,8283,8123,7963,7804,7644,7485,7325,7275,7224,7174,7123,7073,7022,6972,6921,6871,6820,-50,14.3,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,1480.4,2.7,20.1,1.4,42,15.6,19007,21,,,,,,,,,,,,,,,,,,,,,1.5,21.6,22.8,13.1,38.6,20588,51,,,,,,,,,,,,,,,,,,,
51,South Deering,,,16990,15109,-1881,-188.1,16802,16614,16426,16238,16050,15861,15673,15485,15297,15109,15009,14908,14808,14707,14607,14507,14406,14306,14205,14105,-100,15.8,76.7,14.9,76.9,15.7,65.3,41.3,25.3,224,32.5,80.6,35.1,11.8,59.2,48.7,54.9,427.1,0.3,907,1018.2,2.6,24.5,6,41.4,21.9,15506,11.8,,,,,,,,,,,,,,,,,,,,,4,29.2,16.3,21,39.5,14685,65,,,,,,,,,,,,,,,,,,,
52,East Side,,,23653,23042,-611,-61.1,23592,23531,23470,23409,23348,23286,23225,23164,23103,23042,22910,22778,22647,22515,22383,22251,22119,21988,21856,21724,-132,17.7,85.8,6.4,73.3,11,53,10.7,15.3,182.9,12.9,73.9,10.1,3.7,45.9,26.2,33.3,398.5,0.9,191.2,98.6,5.2,18.7,8.3,42.5,35.5,15347,14.5,,,,,,,,,,,,,,,,,,,,,6.8,19.2,12.1,31.9,42.8,17104,64,,,,,,,,,,,,,,,,,,,
53,West Pullman,,,36649,29651,-6998,-699.8,35949,35249,34550,33850,33150,32450,31750,31051,30351,29651,29296,28942,28587,28232,27878,27523,27168,26813,26459,26104,-355,15.3,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,1673.4,9.2,24.3,3.3,42.2,22.6,16228,17,,,,,,,,,,,,,,,,,,,,,3.3,25.9,19.4,20.5,42.1,16563,62,,,,,,,,,,,,,,,,,,,
54,Riverdale,,,9809,6482,-3327,-332.7,9476,9144,8811,8478,8146,7813,7480,7147,6815,6482,6560,6638,6716,6794,6872,6950,7028,7106,7184,7262,78,12.5,46.1,15.3,74.1,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,,,1699.7,1397.9,5.8,61.4,5.1,50.2,24.6,8535,26.4,,,,,,,,,,,,,,,,,,,,,5.8,56.5,34.6,27.5,51.5,8201,98,,,,,,,,,,,,,,,,,,,
55,Hegewisch,,,9781,9426,-355,-35.5,9746,9710,9675,9639,9604,9568,9533,9497,9462,9426,9486,9546,9606,9666,9727,9787,9847,9907,9967,10027,60,13.7,73.2,7.7,66.9,13.1,47.1,6.9,20,210,16.7,80,13.4,8.4,57.9,28.6,47.1,298.8,1.1,,.,2.1,12.1,4.4,41.6,17.9,22561,9.6,,,,,,,,,,,,,,,,,,,,,3.3,17.1,9.6,19.2,42.9,22677,44,,,,,,,,,,,,,,,,,,,
56,Garfield Ridge,,,36101,34513,-1588,-158.8,35942,35783,35625,35466,35307,35148,34989,34831,34672,34513,34606,34698,34791,34883,34976,35069,35161,35254,35346,35439,93,13.4,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,101.8,3.5,9,2.6,39.5,19.4,24684,8.1,,,,,,,,,,,,,,,,,,,,,2.6,8.8,11.3,19.3,38.1,26353,32,,,,,,,,,,,,,,,,,,,
57,Archer Heights,,,12644,13393,749,74.9,12719,12794,12869,12944,13019,13093,13168,13243,13318,13393,13473,13554,13634,13714,13795,13875,13955,14035,14116,14196,80,18.1,80,8.7,74.3,10,50.3,16.6,25.2,166.3,9,67.7,15.4,5.2,49.6,20.5,41.8,543.5,0.5,,.,1.5,13,8.5,40.5,36.4,16145,14.2,,,,,,,,,,,,,,,,,,,,,8.5,14.1,16.5,35.9,39.2,16134,67,,,,,,,,,,,,,,,,,,,
58,Brighton Park,,,44912,45368,456,45.6,44958,45003,45049,45094,45140,45186,45231,45277,45322,45368,45337,45305,45274,45242,45211,45179,45148,45116,45085,45053,-31,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,52.7,11.5,23,13.2,39.8,48.2,13138,11.2,,,,,,,,,,,,,,,,,,,,,14.4,23.6,13.9,45.1,39.3,13089,84,,,,,,,,,,,,,,,,,,,
59,McKinley Park,,,15962,15612,-350,-35,15927,15892,15857,15822,15787,15752,15717,15682,15647,15612,15643,15674,15705,15736,15768,15799,15830,15861,15892,15923,31,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,.,11.5,16.1,6.9,33.7,31.8,17577,11.9,,,,,,,,,,,,,,,,,,,,,7.2,18.7,13.4,32.9,35.6,16954,61,,,,,,,,,,,,,,,,,,,
60,Bridgeport,,,33694,31977,-1717,-171.7,33522,33351,33179,33007,32836,32664,32492,32320,32149,31977,32150,32322,32495,32667,32840,33012,33185,33357,33530,33702,172,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,65,9.9,17.3,4.8,32.3,25.6,24969,11.2,,,,,,,,,,,,,,,,,,,,,4.5,18.9,13.7,22.2,31.3,22694,43,,,,,,,,,,,,,,,,,,,
61,New City,,,51721,44377,-7344,-734.4,50987,50252,49518,48783,48049,47315,46580,45846,45111,44377,44302,44227,44152,44077,44003,43928,43853,43778,43703,43628,-75,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,555,0.8,1052.6,579.7,9.3,30.6,12.2,42,42.4,12524,17.4,,,,,,,,,,,,,,,,,,,,,11.9,29,23,41.5,38.9,12765,91,,,,,,,,,,,,,,,,,,,
62,West Elsdon,,,15921,18109,2188,218.8,16140,16359,16577,16796,17015,17234,17453,17671,17890,18109,18138,18166,18195,18223,18252,18280,18309,18337,18366,18394,29,20.8,92.3,4.6,81.2,7.5,45.5,5.9,12.1,180.6,11.5,68.5,7.7,8.1,57.8,44.7,42.6,492.6,0.2,122,115.9,4.5,9.8,8.7,38.7,39.6,16938,13.5,,,,,,,,,,,,,,,,,,,,,11.1,15.6,16.7,37,37.7,15754,69,,,,,,,,,,,,,,,,,,,
63,Gage Park,,,39193,39894,701,70.1,39263,39333,39403,39473,39544,39614,39684,39754,39824,39894,39859,39823,39788,39752,39717,39682,39646,39611,39575,39540,-35,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,149.2,7,20.8,17.4,40.4,54.1,12014,14,,,,,,,,,,,,,,,,,,,,,15.8,23.4,18.2,51.5,38.8,12171,93,,,,,,,,,,,,,,,,,,,
64,Clearing,,,22331,23139,808,80.8,22412,22493,22573,22654,22735,22816,22897,22977,23058,23139,23272,23406,23539,23673,23806,23939,24073,24206,24340,24473,133,14.6,68.3,7.4,85.8,8,38.7,9.4,23.6,189.4,22.5,72,12.7,6.7,58.6,18.7,53.5,302,0.3,,.,0.9,5.9,3.4,36.4,18.5,23920,9.6,,,,,,,,,,,,,,,,,,,,,2.7,8.9,9.5,18.8,37.6,25113,29,,,,,,,,,,,,,,,,,,,
65,West Lawn,,,29235,33355,4120,412,29647,30059,30471,30883,31295,31707,32119,32531,32943,33355,33386,33416,33447,33478,33509,33539,33570,33601,33631,33662,31,18.8,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,87.2,4.3,15.3,6.8,41.9,33.4,15898,7.8,,,,,,,,,,,,,,,,,,,,,5.8,14.9,9.6,33.6,39.6,16907,56,,,,,,,,,,,,,,,,,,,
66,Chicago Lawn,,,61412,55628,-5784,-578.4,60834,60255,59677,59098,58520,57942,57363,56785,56206,55628,55658,55689,55719,55749,55780,55810,55840,55870,55901,55931,30,20.1,85.3,9.4,78.4,10.8,67.4,22.4,25,179.3,26.1,73,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,1159.9,5.3,22.2,6.5,40,31.6,14405,11.9,,,,,,,,,,,,,,,,,,,,,7.6,27.9,17.1,31.2,40.6,13231,80,,,,,,,,,,,,,,,,,,,
67,West Englewood,,,45282,35505,-9777,-977.7,44304,43327,42349,41371,40394,39416,38438,37460,36483,35505,34919,34333,33748,33162,32576,31990,31404,30819,30233,29647,-586,20.3,93.3,16.1,63.6,13.8,116.9,47.2,39.2,247.6,24.4,88.2,39.3,13.3,66.3,75,64.6,450.6,2.6,2762.2,2545.7,10.9,32.3,6.9,40.9,30.3,10559,34.7,,,,,,,,,,,,,,,,,,,,,4.8,34.4,35.9,26.3,40.7,11317,89,,,,,,,,,,,,,,,,,,,
68,Englewood,,,40222,30654,-9568,-956.8,39265,38308,37352,36395,35438,34481,33524,32568,31611,30654,30026,29397,28769,28140,27512,26883,26255,25626,24998,24369,-628,20,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401,2.8,2594.9,2323.5,11.3,42.2,4.8,43.4,29.4,11993,21.3,,,,,,,,,,,,,,,,,,,,,3.8,46.6,28,28.5,42.5,11888,94,,,,,,,,,,,,,,,,,,,
69,Greater Grand Crossing,,,38619,32602,-6017,-601.7,38017,37416,36814,36212,35611,35009,34407,33805,33204,32602,32489,32376,32263,32150,32037,31923,31810,31697,31584,31471,-113,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,453.7,1.9,2500.3,2034.2,4.8,25.6,4.2,42.9,17.9,17213,18.9,,,,,,,,,,,,,,,,,,,,,3.6,29.6,23,16.5,41,17285,66,,,,,,,,,,,,,,,,,,,
70,Ashburn,,,39584,41081,1497,149.7,39734,39883,40033,40183,40333,40482,40632,40782,40931,41081,41083,41084,41086,41088,41090,41091,41093,41095,41096,41098,2,14.7,69,9,82.4,11.3,38.3,12.4,37.2,229.3,22.8,80.1,11.6,10.2,62.8,44.5,47.4,368.3,0.2,529,602.9,4.4,9.5,4.2,36.7,18.3,22078,8.8,,,,,,,,,,,,,,,,,,,,,4,10.4,11.7,17.7,36.9,23482,37,,,,,,,,,,,,,,,,,,,
71,Auburn Gresham,,,55928,48743,-7185,-718.5,55210,54491,53773,53054,52336,51617,50899,50180,49462,48743,48357,47970,47584,47197,46811,46424,46038,45651,45265,44878,-387,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,1986.7,7.3,24.5,4.1,42.1,19.5,16022,24.2,,,,,,,,,,,,,,,,,,,,,4,27.6,28.3,18.5,41.9,15528,74,,,,,,,,,,,,,,,,,,,
72,Beverly,,,21992,20034,-1958,-195.8,21796,21600,21405,21209,21013,20817,20621,20426,20230,20034,20033,20033,20032,20031,20031,20030,20029,20028,20028,20027,-1,11,60.7,4.9,84.8,9.9,11.9,3.5,42,197.6,24.8,59.6,3.5,10,47.9,44.7,57.2,179.1,1.3,195.5,469.5,0,5.2,0.7,38.7,5.1,40107,7.8,,,,,,,,,,,,,,,,,,,,,0.9,5.1,8,3.7,40.5,39523,12,,,,,,,,,,,,,,,,,,,
73,Washington Heights,,,29843,26493,-3350,-335,29508,29173,28838,28503,28168,27833,27498,27163,26828,26493,26350,26207,26065,25922,25779,25636,25493,25351,25208,25065,-143,12,61,19.6,75.4,16.2,65,38,47.9,260.6,29.7,79.5,35.6,11.2,70,56.2,57.6,371.4,1.5,1298.2,1274.2,3,15.7,1.1,42.4,15.6,19709,18.3,,,,,,,,,,,,,,,,,,,,,1.1,16.9,20.8,13.7,42.6,19713,48,,,,,,,,,,,,,,,,,,,
74,Mount Greenwood,,,18820,19093,273,27.3,18847,18875,18902,18929,18957,18984,19011,19038,19066,19093,19047,19000,18954,18907,18861,18814,18768,18721,18675,18628,-46,12.5,59,8.4,94.5,15.1,7.7,2.2,34.6,201.1,24.8,66.5,7.4,3.3,55,16.9,26.7,133.6,0,,.,0,3.1,1.1,37,4.5,34221,6.9,,,,,,,,,,,,,,,,,,,,,1,3.4,8.7,4.3,36.8,34381,16,,,,,,,,,,,,,,,,,,,
75,Morgan Park,,,25226,22544,-2682,-268.2,24958,24690,24421,24153,23885,23617,23349,23080,22812,22544,22408,22272,22137,22001,21865,21729,21593,21458,21322,21186,-136,13.2,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50,39.8,47.9,298.8,1.3,800.5,741.1,2.6,13.7,0.8,39.4,10.9,26185,14.9,,,,,,,,,,,,,,,,,,,,,0.8,13.2,15,10.8,40.3,27149,30,,,,,,,,,,,,,,,,,,,
76,O'Hare,,,11956,12756,800,80,12036,12116,12196,12276,12356,12436,12516,12596,12676,12756,12822,12888,12955,13021,13087,13153,13219,13286,13352,13418,66,15.8,70,3.5,82,5,15.9,5.6,20.5,138.5,8.7,47.3,11.8,2,37.4,2.8,40.4,182.9,0.5,,.,6.3,9.5,1.9,26.5,11,29402,4.7,,,,,,,,,,,,,,,,,,,,,3.6,15.4,7.1,10.9,30.3,25828,24,,,,,,,,,,,,,,,,,,,
77,Edgewater,,,62198,56521,-5677,-567.7,61630,61063,60495,59927,59360,58792,58224,57656,57089,56521,56499,56476,56454,56431,56409,56386,56364,56341,56319,56296,-23,48.1,7.5,76.1,7.4,15.1,5.8,18.5,162,16.2,48.8,3.9,6.9,40.1,23.7,31.5,308.6,0.9,120.1,427.5,10.5,16.6,3.9,23.4,9,33364,9,,,,,,,,,,,,,,,,,,,,,4.1,18.2,9.2,9.7,23.8,33385,19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,19.7,12.9,19.5,33.5,28202,,,,,,,,,,,,,,,,,,,,,