Community Area,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,Crime_2021
1,5086,7685,7610,7531,7207,6809,6502,5963,5579,5126,4928,4440,3808,3596,3674,4162,3842,4051,3288,1260
6,5471,8808,8655,7743,7843,8003,8217,7762,7463,7530,7699,6828,5709,5593,6090,5763,5975,5983,4290,1470
7,5063,7948,7308,6619,6665,6916,6826,6120,5798,5285,5011,4481,4092,3765,4248,4478,5018,4314,2860,938
8,10416,15471,15760,14647,14226,13884,13517,12280,11597,11234,11297,10121,9000,9088,10580,12334,13102,12585,7282,2461
16,3486,5495,5160,5167,5071,4709,4913,4664,4531,4313,3943,3496,2855,3022,3002,3017,2840,2539,2193,783
21,3010,4805,4829,4358,4170,3887,3950,3877,3745,3377,3279,2677,2373,2263,2295,2358,2348,2147,1813,601
22,7512,11367,10655,9436,9605,9195,8934,8697,8169,7339,6800,5862,5107,4809,5477,5083,4961,4890,3733,1476
23,9159,15495,14541,14802,13718,13062,13270,12775,11837,11160,11222,10264,9238,8205,8036,8081,8121,8011,6626,2372
24,10343,15389,14156,12869,13014,12343,12730,11797,11368,10145,9688,8215,7350,7091,8253,8344,7338,7294,5267,1890
25,17342,30839,29489,28380,28897,28542,27266,26043,24301,22741,21368,20262,18810,17424,16791,15453,15174,14757,12719,4590
26,4659,7420,7880,8428,8416,7936,7431,6396,6379,6287,6680,6682,6229,6039,5792,5378,5737,6223,4969,1824
27,5227,9179,9192,8318,8617,8413,7924,7171,6962,6421,6193,6285,5820,5465,5051,4779,4942,4656,3722,1408
28,9110,15807,14768,13216,12147,11617,11595,10369,9810,9676,9422,8519,7909,7961,9485,9070,9466,9361,6488,2369
29,7177,12348,13370,12739,12081,11352,11416,10432,10863,10014,10397,9805,8728,8439,8826,9095,9452,9008,7212,2534
31,2978,5001,4763,4233,4336,4308,4073,3653,3496,3450,3297,3081,2715,2534,2632,2635,2400,2340,2035,737
34,1119,1725,1652,1704,1632,1223,1354,1241,1368,1443,1539,1295,1225,1085,1012,1019,1022,1024,845,276
35,4354,6517,6846,6844,6182,5468,4227,3177,2936,2704,2779,2795,2576,2530,2623,2637,2729,2745,2181,853
36,674,894,904,880,801,944,961,857,861,796,773,714,648,636,702,690,679,637,620,240
37,1090,1937,1521,1393,1521,1418,1405,1160,1215,1189,1226,1080,933,844,930,880,836,906,681,194
38,5364,8571,7655,6406,6022,5347,5394,5302,4687,4745,4128,4007,3513,3160,3317,3466,3267,3394,2945,1014
39,1680,2937,2739,2909,2359,2455,2335,2320,2301,2075,1796,1597,1504,1380,1420,1537,1473,1387,1207,465
40,3179,5244,5239,5184,5193,4479,4237,4237,4055,4008,3473,3377,2947,2776,2713,2736,2817,2341,1965,708
42,4793,8059,8119,7874,7893,8021,7142,6889,6486,5712,5412,4755,4200,3760,3629,3858,3505,3561,2923,1161
43,8916,14630,14375,14430,14837,14276,14257,13071,12325,12096,11620,10603,9299,9122,8217,8706,8705,8671,7804,2923
46,5004,8380,8882,8290,8967,8843,8021,7600,6786,6770,6550,5839,5252,5095,4802,4591,4338,4255,3385,1401
48,1484,2463,2552,2340,2359,2349,2296,2113,2101,2223,1924,1617,1592,1488,1420,1368,1401,1432,1287,511
49,7297,11688,11810,11679,12276,12620,12290,11330,10381,9921,9038,8165,7400,6656,6892,6974,6962,6542,5979,2115
53,4565,7291,7888,7941,7661,8049,7144,6759,5980,5913,5756,5158,4381,4024,3897,4001,4086,3859,3850,1407
54,1650,2346,2258,2008,1619,1529,1398,1402,1396,1532,1588,1494,1387,1190,1278,1357,1363,1396,1062,419
55,607,1066,1003,928,965,859,971,819,769,822,741,718,627,516,586,674,624,496,506,217
56,2996,4467,4522,4108,4214,3992,3661,3278,2591,2558,2469,2113,1935,1859,2112,1926,2100,1863,1556,601
61,6535,10822,10119,9649,10066,9727,8977,8203,7745,7736,6828,6007,5281,5011,4945,4659,4278,4257,3574,1309
66,6733,11204,10977,11518,11740,11338,11268,10459,10524,9966,8599,7308,6500,6231,5858,5760,5709,5522,4889,1837
67,8321,13919,14121,13677,13712,13562,13546,11532,11225,10829,9994,9022,7619,7549,7011,6968,7128,6622,5678,1992
68,7848,12546,12959,12199,12313,12397,12442,10723,10166,9331,9100,8205,7126,7261,6309,5944,6252,6035,5158,1846
69,6474,10905,11592,11207,10969,11286,10502,9698,9375,8932,8737,7745,6770,6790,6622,6497,6387,6753,5939,2280
71,7417,12300,13150,12822,12155,13327,12890,11771,10670,10273,9429,8596,8011,7864,7620,7546,7440,7623,6235,2414
77,3045,4788,4898,5017,4724,4248,4170,3615,3674,3341,3279,2717,2333,2266,2389,2644,2791,2506,2333,889